,Date,Measure,Distributor,MeasurementType
340,2015-12-07,21.9,AusNet,MaxTemp
341,2015-12-08,33.4,AusNet,MaxTemp
342,2015-12-09,25.8,AusNet,MaxTemp
343,2015-12-10,26.7,AusNet,MaxTemp
344,2015-12-11,20.9,AusNet,MaxTemp
345,2015-12-12,19.5,AusNet,MaxTemp
346,2015-12-13,26.5,AusNet,MaxTemp
347,2015-12-14,31.0,AusNet,MaxTemp
348,2015-12-15,29.1,AusNet,MaxTemp
349,2015-12-16,28.8,AusNet,MaxTemp
350,2015-12-17,35.1,AusNet,MaxTemp
351,2015-12-18,39.3,AusNet,MaxTemp
352,2015-12-19,40.8,AusNet,MaxTemp
353,2015-12-20,41.4,AusNet,MaxTemp
354,2015-12-21,22.0,AusNet,MaxTemp
355,2015-12-22,24.6,AusNet,MaxTemp
356,2015-12-23,29.7,AusNet,MaxTemp
357,2015-12-24,32.3,AusNet,MaxTemp
358,2015-12-25,35.8,AusNet,MaxTemp
359,2015-12-26,21.5,AusNet,MaxTemp
360,2015-12-27,21.0,AusNet,MaxTemp
361,2015-12-28,26.3,AusNet,MaxTemp
362,2015-12-29,30.1,AusNet,MaxTemp
363,2015-12-30,35.5,AusNet,MaxTemp
364,2015-12-31,39.3,AusNet,MaxTemp
365,2015-01-01,8.8,AusNet,MinTemp
366,2015-01-02,13.8,AusNet,MinTemp
367,2015-01-03,15.8,AusNet,MinTemp
368,2015-01-04,16.6,AusNet,MinTemp
369,2015-01-05,15.3,AusNet,MinTemp
370,2015-01-06,17.2,AusNet,MinTemp
371,2015-01-07,19.0,AusNet,MinTemp
372,2015-01-08,20.1,AusNet,MinTemp
373,2015-01-09,17.4,AusNet,MinTemp
374,2015-01-10,13.4,AusNet,MinTemp
375,2015-01-11,14.3,AusNet,MinTemp
376,2015-01-12,14.9,AusNet,MinTemp
377,2015-01-13,14.9,AusNet,MinTemp
378,2015-01-14,17.3,AusNet,MinTemp
379,2015-01-15,15.0,AusNet,MinTemp
380,2015-01-16,10.7,AusNet,MinTemp
381,2015-01-17,14.9,AusNet,MinTemp
382,2015-01-18,13.0,AusNet,MinTemp
383,2015-01-19,6.0,AusNet,MinTemp
384,2015-01-20,8.8,AusNet,MinTemp
385,2015-01-21,16.8,AusNet,MinTemp
386,2015-01-22,15.1,AusNet,MinTemp
387,2015-01-23,18.1,AusNet,MinTemp
388,2015-01-24,15.6,AusNet,MinTemp
389,2015-01-25,15.3,AusNet,MinTemp
390,2015-01-26,6.8,AusNet,MinTemp
391,2015-01-27,10.1,AusNet,MinTemp
392,2015-01-28,12.1,AusNet,MinTemp
393,2015-01-29,8.6,AusNet,MinTemp
394,2015-01-30,10.8,AusNet,MinTemp
395,2015-01-31,9.2,AusNet,MinTemp
396,2015-02-01,12.8,AusNet,MinTemp
397,2015-02-02,13.5,AusNet,MinTemp
398,2015-02-03,11.6,AusNet,MinTemp
399,2015-02-04,13.1,AusNet,MinTemp
400,2015-02-05,10.8,AusNet,MinTemp
401,2015-02-06,10.1,AusNet,MinTemp
402,2015-02-07,12.7,AusNet,MinTemp
403,2015-02-08,13.1,AusNet,MinTemp
404,2015-02-09,7.0,AusNet,MinTemp
405,2015-02-10,14.6,AusNet,MinTemp
406,2015-02-11,13.8,AusNet,MinTemp
407,2015-02-12,15.5,AusNet,MinTemp
408,2015-02-13,17.7,AusNet,MinTemp
409,2015-02-14,17.5,AusNet,MinTemp
410,2015-02-15,16.5,AusNet,MinTemp
411,2015-02-16,17.7,AusNet,MinTemp
412,2015-02-17,15.5,AusNet,MinTemp
413,2015-02-18,15.7,AusNet,MinTemp
414,2015-02-19,17.2,AusNet,MinTemp
415,2015-02-20,16.0,AusNet,MinTemp
416,2015-02-21,17.0,AusNet,MinTemp
417,2015-02-22,15.8,AusNet,MinTemp
418,2015-02-23,14.6,AusNet,MinTemp
419,2015-02-24,14.4,AusNet,MinTemp
420,2015-02-25,14.8,AusNet,MinTemp
421,2015-02-26,12.7,AusNet,MinTemp
422,2015-02-27,11.3,AusNet,MinTemp
423,2015-02-28,16.3,AusNet,MinTemp
424,2015-03-01,14.9,AusNet,MinTemp
425,2015-03-02,5.2,AusNet,MinTemp
426,2015-03-03,11.1,AusNet,MinTemp
427,2015-03-04,8.6,AusNet,MinTemp
428,2015-03-05,10.0,AusNet,MinTemp
429,2015-03-06,12.6,AusNet,MinTemp
430,2015-03-07,13.3,AusNet,MinTemp
431,2015-03-08,11.6,AusNet,MinTemp
432,2015-03-09,12.1,AusNet,MinTemp
433,2015-03-10,12.7,AusNet,MinTemp
434,2015-03-11,8.0,AusNet,MinTemp
435,2015-03-12,6.4,AusNet,MinTemp
436,2015-03-13,9.2,AusNet,MinTemp
437,2015-03-14,5.4,AusNet,MinTemp
438,2015-03-15,10.7,AusNet,MinTemp
439,2015-03-16,7.5,AusNet,MinTemp
440,2015-03-17,13.2,AusNet,MinTemp
441,2015-03-18,15.6,AusNet,MinTemp
442,2015-03-19,10.8,AusNet,MinTemp
443,2015-03-20,11.9,AusNet,MinTemp
444,2015-03-21,2.1,AusNet,MinTemp
445,2015-03-22,4.8,AusNet,MinTemp
446,2015-03-23,9.9,AusNet,MinTemp
447,2015-03-24,12.0,AusNet,MinTemp
448,2015-03-25,11.3,AusNet,MinTemp
449,2015-03-26,9.5,AusNet,MinTemp
450,2015-03-27,10.4,AusNet,MinTemp
451,2015-03-28,10.0,AusNet,MinTemp
452,2015-03-29,7.4,AusNet,MinTemp
453,2015-03-30,5.9,AusNet,MinTemp
454,2015-03-31,6.8,AusNet,MinTemp
455,2015-04-01,10.4,AusNet,MinTemp
456,2015-04-02,12.3,AusNet,MinTemp
457,2015-04-03,2.0,AusNet,MinTemp
458,2015-04-04,6.0,AusNet,MinTemp
459,2015-04-05,11.4,AusNet,MinTemp
460,2015-04-06,11.8,AusNet,MinTemp
461,2015-04-07,11.3,AusNet,MinTemp
462,2015-04-08,10.2,AusNet,MinTemp
463,2015-04-09,7.6,AusNet,MinTemp
464,2015-04-10,3.5,AusNet,MinTemp
465,2015-04-11,7.1,AusNet,MinTemp
466,2015-04-12,10.4,AusNet,MinTemp
467,2015-04-13,5.3,AusNet,MinTemp
468,2015-04-14,7.8,AusNet,MinTemp
469,2015-04-15,10.5,AusNet,MinTemp
470,2015-04-16,14.8,AusNet,MinTemp
471,2015-04-17,5.8,AusNet,MinTemp
472,2015-04-18,10.9,AusNet,MinTemp
473,2015-04-19,8.5,AusNet,MinTemp
474,2015-04-20,2.1,AusNet,MinTemp
475,2015-04-21,-0.1,AusNet,MinTemp
476,2015-04-22,6.4,AusNet,MinTemp
477,2015-04-23,12.9,AusNet,MinTemp
478,2015-04-24,14.1,AusNet,MinTemp
479,2015-04-25,9.4,AusNet,MinTemp
480,2015-04-26,11.1,AusNet,MinTemp
481,2015-04-27,9.9,AusNet,MinTemp
482,2015-04-28,6.4,AusNet,MinTemp
483,2015-04-29,1.9,AusNet,MinTemp
484,2015-04-30,2.6,AusNet,MinTemp
485,2015-05-01,4.9,AusNet,MinTemp
486,2015-05-02,6.0,AusNet,MinTemp
487,2015-05-03,7.5,AusNet,MinTemp
488,2015-05-04,7.8,AusNet,MinTemp
489,2015-05-05,9.8,AusNet,MinTemp
490,2015-05-06,9.6,AusNet,MinTemp
491,2015-05-07,9.0,AusNet,MinTemp
492,2015-05-08,9.6,AusNet,MinTemp
493,2015-05-09,12.1,AusNet,MinTemp
494,2015-05-10,10.8,AusNet,MinTemp
495,2015-05-11,10.6,AusNet,MinTemp
496,2015-05-12,11.4,AusNet,MinTemp
497,2015-05-13,5.2,AusNet,MinTemp
498,2015-05-14,6.5,AusNet,MinTemp
499,2015-05-15,10.7,AusNet,MinTemp
500,2015-05-16,9.7,AusNet,MinTemp
501,2015-05-17,3.4,AusNet,MinTemp
502,2015-05-18,1.6,AusNet,MinTemp
503,2015-05-19,4.7,AusNet,MinTemp
504,2015-05-20,5.7,AusNet,MinTemp
505,2015-05-21,9.9,AusNet,MinTemp
506,2015-05-22,8.2,AusNet,MinTemp
507,2015-05-23,7.7,AusNet,MinTemp
508,2015-05-24,3.9,AusNet,MinTemp
509,2015-05-25,1.6,AusNet,MinTemp
510,2015-05-26,-0.2,AusNet,MinTemp
511,2015-05-27,3.5,AusNet,MinTemp
512,2015-05-28,1.5,AusNet,MinTemp
513,2015-05-29,6.6,AusNet,MinTemp
514,2015-05-30,6.3,AusNet,MinTemp
515,2015-05-31,11.1,AusNet,MinTemp
516,2015-06-01,2.7,AusNet,MinTemp
517,2015-06-02,3.4,AusNet,MinTemp
518,2015-06-03,1.0,AusNet,MinTemp
519,2015-06-04,-1.0,AusNet,MinTemp
520,2015-06-05,0.7,AusNet,MinTemp
521,2015-06-06,6.7,AusNet,MinTemp
522,2015-06-07,2.2,AusNet,MinTemp
523,2015-06-08,5.7,AusNet,MinTemp
524,2015-06-09,8.9,AusNet,MinTemp
525,2015-06-10,5.3,AusNet,MinTemp
526,2015-06-11,3.8,AusNet,MinTemp
527,2015-06-12,1.7,AusNet,MinTemp
528,2015-06-13,3.7,AusNet,MinTemp
529,2015-06-14,2.6,AusNet,MinTemp
530,2015-06-15,2.7,AusNet,MinTemp
531,2015-06-16,6.7,AusNet,MinTemp
532,2015-06-17,9.9,AusNet,MinTemp
533,2015-06-18,9.5,AusNet,MinTemp
534,2015-06-19,3.7,AusNet,MinTemp
535,2015-06-20,-0.2,AusNet,MinTemp
536,2015-06-21,0.7,AusNet,MinTemp
537,2015-06-22,-2.6,AusNet,MinTemp
538,2015-06-23,-1.0,AusNet,MinTemp
539,2015-06-24,1.8,AusNet,MinTemp
540,2015-06-25,6.1,AusNet,MinTemp
541,2015-06-26,9.3,AusNet,MinTemp
542,2015-06-27,5.1,AusNet,MinTemp
543,2015-06-28,7.4,AusNet,MinTemp
544,2015-06-29,4.0,AusNet,MinTemp
545,2015-06-30,5.9,AusNet,MinTemp
546,2015-07-01,6.9,AusNet,MinTemp
547,2015-07-02,7.3,AusNet,MinTemp
548,2015-07-03,3.8,AusNet,MinTemp
